NPLV,NOP_Вхождение в гр.МНЛЗ,NOP_Завалка лома,NOP_Заливка чугуна,NOP_Наведение гарнисажа,NOP_Нагрев лома,NOP_Наложение продувки,NOP_Неиспр. электр. обор,NOP_Обрыв горловины,NOP_Осмотр конвертера,NOP_Отсутствие O2,NOP_Отсутствие чугуна,NOP_Подварка  футеровки,NOP_Полусухое торкрет.,NOP_Продувка,NOP_Слив шлака,NOP_межпл. простой,O2_start_Продувка,V_start_Продувка,T_start_Продувка,N2_start_Продувка,H2_start_Продувка,CO2_start_Продувка,CO_start_Продувка,AR_start_Продувка,O2_pressure_start_Продувка,V_end_Продувка,T_end_Продувка,O2_end_Продувка,N2_end_Продувка,H2_end_Продувка,CO2_end_Продувка,CO_end_Продувка,AR_end_Продувка,O2_pressure_end_Продувка
510008,0,16,203,100,730,0,0,0,144,126,0,0,0,1170,46,666,19.920000076293945,211585.734375,455.2083435058594,79.08999633789062,0.0199999995529651,0.050000000745058,0.0,0.8399999737739563,13.715277671813965,228116.28125,788.8888549804688,9.0600004196167,78.13999938964844,0.0,11.210000038146973,0.6100000143051147,0.9800000190734864,13.179977416992188
510009,620,31,188,112,788,0,0,0,198,440,0,0,0,1230,118,845,19.170000076293945,217413.234375,229.86111450195312,79.88999938964844,0.0299999993294477,0.0,0.0199999995529651,0.8899999856948853,15.133102416992188,218898.75,849.6527709960938,5.349999904632568,77.19000244140625,0.0,15.479999542236328,0.9800000190734864,0.9900000095367432,14.069734573364258
510010,0,133,209,136,738,0,0,0,102,0,0,0,0,1226,55,614,20.21999931335449,208277.78125,505.90277099609375,78.83999633789062,0.0,0.3799999952316284,0.0299999993294477,0.9200000166893004,14.359085083007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510011,0,17,175,184,776,0,0,541,0,0,0,0,0,1058,42,1401,20.77571974675208,218051.125,286.1111145019531,75.63616734334867,0.0115068490578703,1.1813513233854964,0.0837837850322594,0.8756000248591105,14.388020515441896,222569.171875,828.4722290039062,0.0,47.0,0.0599999986588954,23.309999465942383,28.959999084472656,0.6800000071525574,13.917824745178224
510012,0,136,184,133,736,0,0,0,120,0,0,0,0,1239,49,929,19.790000915527344,215595.65625,430.5555725097656,79.27999877929688,0.0299999993294477,0.0,0.0099999997764825,0.8899999856948853,14.568864822387695,225770.28125,813.1943969726562,6.050000190734863,79.95999908447266,0.0199999995529651,12.289999961853027,0.699999988079071,0.9800000190734864,13.8671875
510013,0,167,232,93,764,973,0,0,69,0,0,0,0,1179,91,2259,20.0,226180.03125,250.69444274902344,79.05000305175781,0.0199999995529651,0.0,0.0399999991059303,0.8899999856948853,15.096932411193848,227608.328125,838.5416259765625,5.849999904632568,79.83999633789062,0.0213245028346184,12.539999961853027,0.7900000214576721,0.959999978542328,15.277777671813965
510014,568,196,207,116,760,817,0,0,55,0,0,0,0,1167,23,2489,15.130000114440918,223296.015625,235.06944274902344,83.62000274658203,0.0399999991059303,0.3300000131130218,0.0799999982118606,0.800000011920929,15.053529739379885,221944.265625,702.0833129882812,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.632234573364258
510015,0,173,222,115,734,0,0,0,62,0,0,1239,0,1215,153,2002,0.0,217413.234375,310.7638854980469,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.082465171813965,232936.171875,852.7777709960938,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.747974395751951
510016,0,170,203,110,746,0,0,0,111,0,0,0,0,1190,92,561,0.0,224536.5625,358.33331298828125,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.089699745178224,229229.78125,822.9166870117188,0.0,62.61000061035156,0.0299999993294477,23.21999931335449,13.350000381469728,0.7900000214576721,15.769675254821776
510017,689,158,221,109,736,0,0,0,119,0,0,0,0,1031,57,2108,20.06999969482422,223088.59375,322.9166564941406,78.95999908447266,0.0099999997764825,0.0099999997764825,0.0299999993294477,0.9100000262260436,15.12586784362793,226895.3125,894.0972290039062,0.0,61.869998931884766,0.1199999973177909,25.09000015258789,12.140000343322754,0.7799999713897705,15.805845260620115
510018,62,170,193,135,730,0,0,250,43,0,0,0,0,1136,46,622,19.46999931335449,224742.65625,309.72222900390625,79.56999969482422,0.0399999991059303,0.0,0.0399999991059303,0.8899999856948853,15.089699745178224,232139.796875,726.0416259765625,4.5,75.16999816894531,0.0,18.65999984741211,0.7200000286102295,0.9399999976158142,15.78414249420166
510019,0,964,186,103,756,0,0,933,74,0,544,0,0,1131,103,1884,19.270000457763672,231840.46875,294.7916564941406,79.43000030517578,0.0399999991059303,0.3100000023841858,0.050000000745058,0.8999999761581421,15.046297073364258,227811.640625,839.9305419921875,0.0,73.02999877929688,0.0199999995529651,24.1200008392334,1.940000057220459,0.8999999761581421,15.743904948234558
510020,0,199,184,111,732,0,0,0,84,0,0,0,0,1150,85,1892,20.224384124964885,222673.15625,406.5971984863281,78.34041627248128,0.0237499994691461,0.4374999801317851,0.063333332305774,0.8961643756252445,15.133102416992188,231440.734375,852.4305419921875,0.0,68.69000244140625,0.0099999997764825,27.059999465942383,3.3499999046325684,0.8999999761581421,15.625
510021,1084,225,182,124,728,0,0,0,56,0,0,0,0,1118,118,998,17.760000228881836,231140.5,375.3472290039063,80.5999984741211,0.0399999991059303,0.6399999856948853,0.1099999994039535,0.8600000143051147,15.14756965637207,230237.390625,901.7361450195312,0.0,58.43999862670898,0.1099999994039535,27.11000061035156,13.56999969482422,0.7699999809265137,15.769675254821776
510022,429,177,204,120,748,0,0,0,65,0,0,0,0,1205,72,1700,19.07999992370605,216345.90625,560.763916015625,79.93000030517578,0.0399999991059303,0.0,0.0900000035762786,0.8600000143051147,15.154802322387695,225872.796875,787.1527709960938,9.149999618530272,79.55999755859375,0.0299999993294477,9.550000190734863,0.7200000286102295,0.9900000095367432,15.762442588806152
510023,0,141,220,118,734,0,0,0,83,539,330,0,0,1077,103,1087,19.57999992370605,225872.796875,534.7222290039062,79.37999725341797,0.0399999991059303,0.050000000745058,0.0700000002980232,0.7599999904632568,15.089699745178224,227404.828125,685.4166870117188,7.230000019073486,79.20999908447266,0.0299999993294477,11.289999961853027,1.2000000476837158,1.0399999618530271,15.776909828186035
510024,0,382,201,160,772,0,0,178,145,0,0,0,0,1077,102,760,20.01000022888184,216345.90625,439.5833435058594,79.04000091552734,0.0099999997764825,0.0199999995529651,0.0099999997764825,0.9100000262260436,15.046297073364258,226589.03125,721.1805419921875,6.849999904632568,79.12000274658203,0.050000000745058,11.600000381469728,1.309999942779541,1.059999942779541,15.813077926635742
510026,0,145,277,126,756,0,0,0,78,0,119,0,0,1048,77,632,19.65999984741211,215917.515625,538.8888549804688,79.3499984741211,0.0099999997764825,0.270000010728836,0.0700000002980232,0.8999999761581421,15.111400604248049,224536.5625,842.3611450195312,0.0,67.3499984741211,0.1400000005960464,21.40999984741211,10.18000030517578,0.9200000166893004,15.747974395751951
510027,0,177,220,233,734,0,0,0,0,0,0,0,0,1049,234,1418,20.01000022888184,223503.25,546.875,79.05000305175781,0.0199999995529651,0.0,0.0199999995529651,0.8999999761581421,15.14756965637207,230337.90625,762.1527709960938,1.1200000047683716,75.81999969482422,0.0299999993294477,19.270000457763672,2.7799999713897705,0.9900000095367432,15.762442588806152
510028,0,139,231,105,740,0,0,0,27,0,1620,0,0,1040,136,4593,19.959999084472656,220689.15625,569.4444580078125,79.0999984741211,0.0099999997764825,2.289999961853028,0.0199999995529651,0.8199999928474426,15.07523250579834,223606.796875,843.75,0.0,65.26000213623047,0.0900000035762786,26.18000030517578,7.570000171661377,0.8999999761581421,15.805845260620115
510030,0,129,956,184,740,0,0,0,0,312,0,0,0,992,145,1585,19.049999237060547,230940.109375,371.875,79.97000122070312,0.0399999991059303,0.0,0.0599999986588954,0.8700000047683716,15.133102416992188,229330.75,817.3611450195312,0.0,64.08999633789062,0.0700000002980232,26.21999931335449,8.670000076293945,0.9399999976158142,15.747974395751951
510031,0,1038,254,131,742,0,195,967,61,0,367,0,0,1024,37,1619,19.979999542236328,223088.59375,411.1111145019531,79.0199966430664,0.0099999997764825,0.0199999995529651,0.050000000745058,0.9200000166893004,15.046297073364258,221526.6875,821.875,0.0,53.2599983215332,0.1899999976158142,22.729999542236328,23.020000457763672,0.7900000214576721,15.776909828186035
510032,0,113,356,213,768,929,0,0,132,0,833,0,0,1143,143,3487,19.459999084472656,224227.078125,235.76388549804688,79.54000091552734,0.0299999993294477,0.7900000214576721,0.0599999986588954,0.8999999761581421,15.241609573364258,226895.3125,702.7777709960938,6.019999980926514,77.52999877929688,0.1199999973177909,12.579999923706056,2.720000028610229,1.0299999713897705,15.769675254821776
510033,0,149,189,178,734,348,0,0,208,0,0,0,0,1135,344,1796,20.26000022888184,216131.8125,265.97222900390625,78.81999969482422,0.0,0.0,0.0,0.9100000262260436,15.053529739379885,220689.15625,852.0833129882812,0.0,39.369998931884766,0.9700000286102296,20.040000915527344,38.970001220703125,0.6499999761581421,15.71180534362793
510037,0,180,241,162,738,0,0,0,164,0,0,0,0,1031,31,3046,14.8100004196167,231740.59375,228.125,83.81999969482422,0.0,0.5600000023841858,0.0199999995529651,0.7799999713897705,15.01736068725586,227201.171875,788.8888549804688,0.0,71.7699966430664,0.1299999952316284,24.170000076293945,2.9600000381469727,0.9800000190734864,15.73350715637207
510040,0,52,202,109,732,0,0,0,28,0,0,0,0,1097,176,1626,24.039999961853027,219848.4375,328.125,74.58864502987619,0.0049152541274236,0.3305084624532926,0.0762711894714226,0.8849999904632568,15.01736068725586,239984.5625,845.4861450195312,0.0,63.84000015258789,0.3300000131130218,27.420000076293945,7.53000020980835,0.8799999952316284,15.530960083007812
510043,0,120,204,37,722,0,0,0,124,0,0,0,0,1112,140,1687,20.309999465942383,207721.328125,350.3471984863281,78.7699966430664,0.0,0.1500000059604644,0.0,0.9300000071525574,13.78038215637207,248047.921875,793.4027709960938,0.0,58.709999084472656,0.8899999856948853,24.670000076293945,14.90999984741211,0.8299999833106995,13.252314567565918
